SECTOR;GRUPO;ID;TITULO;NARRATIVA;OPCION_A_TXT;OPCION_A_LOGIC;OPCION_B_TXT;OPCION_B_LOGIC;OPCION_C_TXT;OPCION_C_LOGIC;OPCION_D_TXT;OPCION_D_LOGIC
Psicología organizacional;Competencias personales;11;Marca Empleadora;Glassdoor está lleno de críticas sobre la falta de flexibilidad de la empresa. Está afectando al reclutamiento.;Lanzo una campaña de marketing con testimonios positivos de empleados felices para contrarrestar.;strategic_vision -1;Ignoro las redes. La gente que se queja no es el perfil que buscamos.;;Analizo las críticas para identificar patrones y propongo cambios estructurales en la política de flexibilidad.;strategic_vision 1;Contesto a las críticas una a una explicando nuestra visión.;
Psicología organizacional;Competencias personales;12;Nuevas Competencias;La estrategia cambia hacia la sostenibilidad. Nadie en la empresa sabe de ESG.;Añado 'Sostenibilidad' a los valores corporativos y espero a ver cómo evoluciona.;;Creo un comité mixto (expertos externos + líderes internos) para transferir conocimiento e integrar ESG en el ADN.;strategic_vision 1;Compro cursos online de ESG para toda la plantilla.;;Contrato a un Director de Sostenibilidad y le dejo que él se ocupe de todo.;strategic_vision -1
Psicología organizacional;Competencias personales;13;Vuelta a la Oficina;La empresa ordena vuelta 100% presencial. Tú y tu equipo estáis en desacuerdo.;Acepto la directriz y me enfoco en buscar momentos de flexibilidad informal dentro de la norma para motivar.;adaptability 1;Aplico la norma sin rechistar, es lo que hay.;;Solicito una excepción formal para mi departamento.;;Me uno a las quejas de pasillo fomentando el malestar.;adaptability -1
Psicología organizacional;Competencias personales;14;Gestión del Jefe;Tu jefe quiere revisar cada email que envías. Te asfixia y ralentiza.;Hablo con RRHH/Superior sobre su estilo de liderazgo.;;Pacto con él momentos de revisión agendados y reportes de estado para darle seguridad sin perder autonomía.;influence_negotiation 1;Le envío solo lo importante y gestiono el resto por mi cuenta discretamente.;;Le dejo hacer. Es el jefe y prefiere las cosas a su manera.;influence_negotiation -1
Psicología organizacional;Competencias personales;15;Incertidumbre;Hay fuertes rumores de despidos. El equipo está paralizado por el miedo. Tú no sabes nada oficial.;Preparo mi CV por si acaso.;;Intento averiguar chismes para contárselos.;;Les digo que 'no pasa nada' para tranquilizarles (falsa calma).;adaptability -1;Reconozco la incertidumbre, pero enfoco al equipo en lo que sí podemos controlar (el trabajo de hoy).;adaptability 1
Psicología organizacional;Competencias personales;16;Valores vs Resultados;Un candidato finalista es un genio técnico, pero en la comida informal ha hecho comentarios despectivos sobre la competencia.;Pido más referencias específicas sobre su conducta en equipos anteriores.;;Le descarto. Los valores no se entrenan y el coste a largo plazo será mayor.;ethical_integrity 1;Le contrato con un periodo de prueba extendido y mentoring en valores.;;Le contrato. Necesitamos resultados ya, y la cultura se puede moldear.;ethical_integrity -1
Psicología organizacional;Competencias personales;17;Equidad Interna;Descubres que un fichaje externo cobra un 15% más que un empleado interno de alto rendimiento en el mismo puesto.;Diseño un plan de equiparación salarial progresivo para el interno en los próximos 12 meses.;ethical_integrity 1;Reviso la descripción de puesto para justificar la diferencia por 'seniority'.;;Ofrezco al interno beneficios no monetarios (teletrabajo, formación) para compensar.;;Mantengo la diferencia. El mercado manda y el externo negoció mejor.;ethical_integrity -1
Psicología organizacional;Competencias personales;18;Amistad y Promoción;Debes decidir una promoción. El candidato A es tu amigo personal y encaja bien. El candidato B es un poco mejor técnicamente pero no tienes relación.;Me abstengo de la decisión final y pido a un tercero o comité que evalúe para asegurar objetividad.;ethical_integrity 1;Propongo un periodo de prueba o proyecto reto para ambos antes de decidir.;;Elijo al B basándome estrictamente en la matriz de competencias técnicas.;;Promociono a mi amigo (A). La confianza es vital para el puesto y sé que no me fallará.;ethical_integrity -1
Psicología organizacional;Competencias personales;19;Pico de Trabajo;Un proyecto inesperado obliga a echar horas extra durante 2 semanas. El equipo ya está cansado.;Pido recursos temporales externos.;;Les presiono recordando que el cliente es lo primero.;adaptability -1;Prometo días libres cuando esto acabe.;;Me remango y trabajo codo a codo con ellos, re-priorizando tareas para descargar lo no urgente.;adaptability 1
Psicología organizacional;Competencias personales;20;Retención de Talento;Tu analista clave tiene una oferta de la competencia por un 20% más. No puedes igualar el dinero.;Le ofrezco una revisión salarial dentro de 6 meses (promesa).;;Apelo a su lealtad y al buen ambiente que tenemos aquí.;influence_negotiation -1;Le dejo ir. Si es por dinero, se iría tarde o temprano.;;Me siento con él para diseñar un plan de carrera y beneficios a medida que superen la oferta monetaria.;influence_negotiation 1
Psicología organizacional;Competencias personales;21;Diversidad Cognitiva;El equipo de dirección son todos ingenieros hombres de 50 años. Funcionan bien, pero hay pensamiento único.;Organizo charlas de sensibilización sobre sesgos inconscientes.;;Fuerzo la inclusión de perfiles diversos en las ternas finalistas para enriquecer la toma de decisiones futura.;strategic_vision 1;Sigo contratando perfiles similares para asegurar la cohesión y velocidad actual.;strategic_vision -1;Propongo crear un 'Shadow Board' de jóvenes para dar feedback a la dirección.;
Psicología organizacional;Competencias personales;22;Error a favor de la Empresa;Detectas que la empresa se ha ahorrado 5.000€ en cotizaciones por un error administrativo legal. Nadie lo ha notado.;Lo anoto para corregirlo en el próximo ejercicio fiscal discretamente.;;Consulto con el asesor externo para ver qué riesgo real hay.;;Lo dejo estar. Si llega una inspección ya alegaremos error informático.;ethical_integrity -1;Informo a Legal para regularizarlo voluntariamente antes de una posible inspección.;ethical_integrity 1
Psicología organizacional;Competencias personales;23;Presupuesto Congelado;Necesitas contratar a un experto, pero el candidato pide un salario que excede la banda salarial aprobada.;Pido una excepción extraordinaria al Comité de Compensación.;;Negocio un paquete con variable, bonus de firma o días libres para llegar a su valor total sin romper la banda fija.;influence_negotiation 1;Le digo que es lo que hay y que si le interesa bien, y si no también.;influence_negotiation -1;Busco a un candidato más junior que encaje en precio.;
Psicología organizacional;Competencias personales;24;Reducción de Plantilla;Debes reducir costes estructurales. Tienes que elegir el criterio de salida para el 10% de la plantilla.;Abro un plan de bajas incentivadas voluntarias.;;Utilizo un mapa de talento para retener a los perfiles críticos para el futuro, independientemente de su coste hoy.;strategic_vision 1;Aplico el criterio 'LIFO' (Last In, First Out) por simplicidad.;;Despido a los que tienen los salarios más altos para conseguir el objetivo económico rápido.;strategic_vision -1
Psicología organizacional;Competencias personales;25;Sucesión Crítica;El Director Comercial se jubila en 2 años. No hay sucesor claro.;Contrato a un 'segundo de a bordo' externo ya.;;Identifico 2 potenciales internos y diseño un plan de rotación y mentoring intensivo de 24 meses.;strategic_vision 1;Le pido al Director actual que recomiende a su sucesor.;;Espero al momento de la jubilación para buscar al mejor candidato del mercado.;strategic_vision -1
Psicología organizacional;Competencias personales;26;El Título que no llega;Un empleado clave dijo tener un Máster que resulta que nunca terminó (le falta el TFM). Es excelente en su trabajo.;Le sanciono formalmente por falsedad documental según convenio.;;Hago la vista gorda. Lo importante es que sabe hacer el trabajo.;ethical_integrity -1;Le pido que regularice su situación académica en 6 meses como condición para seguir.;ethical_integrity 1;Le cambio el título del puesto para que no requiera el Máster formalmente.;
Psicología organizacional;Competencias personales;27;Uso Personal de Recursos;Ves que un gerente imprime los trabajos del colegio de sus hijos en la impresora de la oficina habitualmente.;Mando un comunicado general recordatorio sin señalar a nadie.;;No digo nada. Es un coste irrelevante comparado con lo que aporta.;ethical_integrity -1;Le recuerdo amablemente la política de uso de recursos y sostenibilidad de la empresa.;ethical_integrity 1;Implanto un sistema de control de impresión con tarjeta para todos.;
Psicología organizacional;Competencias personales;28;Digitalización Forzosa;Se implanta una nueva herramienta digital. Los empleados veteranos se resisten a usarla.;Les permito seguir usando el método antiguo si cumplen objetivos.;adaptability -1;Organizo formación obligatoria para todos.;;Diseño sesiones de 'mentoring inverso' donde los jóvenes enseñan a los veteranos en un entorno seguro.;adaptability 1;Vinculo el uso de la herramienta al bonus.;
Psicología organizacional;Competencias personales;29;Colaboración Interdepartamental;Necesitas recursos de IT para un proyecto de RRHH. El CIO dice que no tiene ancho de banda.;Le muestro cómo mi proyecto reducirá tickets de soporte a IT en el futuro (Beneficio mutuo).;influence_negotiation 1;Ajusto el cronograma del proyecto a su disponibilidad.;;Me quejo de la falta de servicio de IT en la reunión de dirección.;influence_negotiation -1;Intento contratar un proveedor externo con mi presupuesto.;
Psicología organizacional;Competencias personales;30;Gestión de Expectativas;El cliente interno espera que cubras 10 vacantes difíciles en 1 semana.;Le explico que RRHH no hace milagros.;;Externalizo la búsqueda a headhunters para intentar llegar.;;Digo que lo intentaré (aunque sé que es imposible) para no decepcionar.;influence_negotiation -1;Presento datos de mercado (Time-to-fill) para acordar un SLA realista y priorizar las críticas.;influence_negotiation 1
Psicología organizacional;Competencias personales;31;Cambio de Modelo de Negocio;Pasáis de vender licencias (caapex) a suscripción (SaaS). El equipo de ventas actual no sabe vender recurrencia.;Mantengo al equipo confiando en que un buen vendedor vende lo que sea.;strategic_vision -1;Introduzco nuevos perfiles 'Customer Success' para apoyar a los vendedores.;;Audito las competencias actuales y defino quién es 'reciclable' y quién no, actuando en consecuencia.;strategic_vision 1;Cambio el sistema de incentivos para premiar solo la recurrencia.;
Psicología organizacional;Competencias personales;32;Impacto de la IA;Se prevé que la IA automatice el 30% de las tareas de tu sector en 5 años.;Creo un observatorio tecnológico interno para pilotar herramientas y adaptar perfiles proactivamente.;strategic_vision 1;Compro licencias de ChatGPT para todos para que 'jueguen'.;;Centro la estrategia en potenciar las habilidades 'humanas' (empatía, trato).;;Espero a ver qué hacen los competidores antes de mover ficha.;strategic_vision -1
Psicología organizacional;Competencias personales;33;Cambio de Rol;Tu rol cambia de 'Jefe de Personal' a 'Facilitador Agile'. Te sientes incompetente.;Adopto una mentalidad de aprendiz ('Growth Mindset'), pido formación y empiezo a practicar con humildad.;adaptability 1;Leo libros sobre el tema para entender la teoría.;;Pido que me asignen a otro puesto más tradicional.;;Intento amoldar el nuevo rol a mi vieja forma de trabajar para no sufrir.;adaptability -1
Psicología organizacional;Competencias personales;34;Nuevas Formas de Trabajo;El equipo pide trabajar por objetivos y no por horarios. Te da miedo perder el control.;Establezco un piloto basado en entregables claros y confianza, soltando el control horario.;adaptability 1;Les digo que la cultura de la empresa es presencialista.;;Establezco franjas de coincidencia obligatoria pero doy libertad en el resto.;;Instalo un software de monitorización de actividad para estar seguro.;adaptability -1
Psicología organizacional;Competencias personales;35;Cambio de Espacio;Os mudáis a una oficina sin sitios fijos (Hot desking). Pierdes tu despacho.;Llego temprano para coger siempre el mismo sitio en la esquina.;adaptability -1;Negocio tener una sala de reuniones reservada para mi uso.;;Me compro unos auriculares con cancelación de ruido.;;Veo la oportunidad de sentarme cada día con equipos diferentes y entender mejor el negocio.;adaptability 1
Psicología organizacional;Competencias personales;36;Conflicto Personal;Dos miembros de tu equipo no se soportan y el ambiente es tenso. Afecta al trabajo.;Les reúno para establecer normas profesionales de convivencia y objetivos compartidos, separando lo personal.;influence_negotiation 1;Les asigno proyectos separados para que no interactúen.;;Hablo con cada uno por separado para que se desahoguen.;;Les digo que o se llevan bien o despediré a los dos.;influence_negotiation -1
Psicología organizacional;Competencias personales;37;Venta de Proyecto;Quieres implantar el Teletrabajo Híbrido permanente. El CEO es escéptico.;Busco aliados en el comité para que le convenzan ellos.;;Preparo un 'Business Case' con ahorros de costes y datos de productividad de la competencia.;influence_negotiation 1;Le hablo de la felicidad de los empleados y la modernidad.;influence_negotiation -1;Propongo una prueba piloto de 3 meses reversible.;
Psicología organizacional;Competencias personales;38;Externalización;Propuesta para externalizar la nómina. Ahorro del 20%, pero perdemos control del dato.;Apruebo la externalización. El ahorro de costes es la prioridad este año.;strategic_vision -1;Valoro el riesgo de pérdida de conocimiento y calidad vs el ahorro antes de decidir.;strategic_vision 1;Mantengo la nómina interna pero automatizo procesos para reducir costes.;;Externalizo solo una parte (filiales) para probar.;
Psicología organizacional;Competencias personales;39;Plan Cancelado;Llevas 3 meses trabajando en un plan de formación que se cancela hoy por cambio de estrategia.;Pido explicaciones detalladas para entender el porqué.;;Guardo el trabajo en un cajón 'por si acaso' vuelve.;;Analizo qué partes del trabajo hecho son reciclables para la nueva estrategia y descarto el resto sin drama.;adaptability 1;Me enfado y me quejo de la falta de rumbo de la dirección.;adaptability -1
Psicología organizacional;Competencias personales;40;Saturación de Cambios;La organización lanza su tercera transformación en dos años. La gente está agotada.;Reconozco la fatiga, simplifico prioridades y celebro pequeñas victorias para mantener la energía.;adaptability 1;Freno la implementación de lo nuevo todo lo que puedo.;;Les digo que hay que 'apretar los dientes' y seguir empujando.;adaptability -1;Organizo talleres de gestión del estrés.;
Psicología organizacional;Competencias profesionales;41;El Candidato Clon;Los responsables de área tienden a contratar perfiles exactamente iguales a ellos ('similar-to-me bias'). La plantilla cada vez es más homogénea.;Permito que sigan así, al fin y al cabo son ellos los que van a trabajar con el candidato.;selection_evaluation -1;Paso a los managers tests de sesgos inconscientes para que tomen conciencia.;selection_evaluation 0;Externalizo el proceso a una agencia para que filtre por nosotros.;selection_evaluation 0;Instauro entrevistas estructuradas y paneles diversos de entrevistadores para mitigar el sesgo.;selection_evaluation 1
Psicología organizacional;Competencias profesionales;42;La Job Description Fantasma;Un manager te pide cubrir una vacante urgente pero no quiere rellenar la descripción del puesto porque 'ya sabe lo que busca cuando lo vea'.;Empiezo a mandarle perfiles de LinkedIn al azar a ver si alguno le encaja.;selection_evaluation -1;Le exijo que rellene el formulario estándar de 5 páginas o no empiezo la búsqueda.;selection_evaluation 0;Buso la descripción de un puesto similar antiguo y la reciclo.;selection_evaluation 0;Hago una breve reunión de toma de requisitos (intake meeting) para fijar 3 competencias clave innegociables.;selection_evaluation 1
Psicología organizacional;Competencias profesionales;43;Entrevista de Estrés;Un director técnico se jacta de hacer preguntas muy agresivas en la entrevista para 'ver cómo reaccionan bajo presión'.;Le felicito, en esta empresa hay mucha presión y es un buen filtro de entrada.;selection_evaluation -1;Le formo sobre cómo medir la tolerancia al estrés mediante incidentes críticos pasados, no generándolo en la sala.;selection_evaluation 1;Aviso a los candidatos antes de que entren de que el director es un poco duro.;selection_evaluation 0;Acompaño siempre a ese director a las entrevistas para suavizar la situación.;selection_evaluation 0
Psicología organizacional;Competencias profesionales;44;CVs a Ciegas;El comité quiere instaurar el 'CV Ciego' (sin foto, nombre ni edad) para aumentar la diversidad en procesos iniciales.;Lo implemento en toda la empresa de la noche a la mañana por política corporativa.;selection_evaluation 0;Digo que no sirve de nada porque en la entrevista presencial el sesgo volverá a aparecer.;selection_evaluation -1;Piloto la iniciativa en un departamento concreto, midiendo si realmente aumenta la tasa de perfiles diversos en la fase final.;selection_evaluation 1;Sugiero usar mejor una IA que filtre los CVs sin importar el nombre.;selection_evaluation 0
Psicología organizacional;Competencias profesionales;45;Headhunter Rápido;El headhunter te envía un candidato espectacular. Tienes dudas sobre su encaje cultural, pero el negocio presiona para cerrar ya.;Paso una prueba psicométrica extra, aunque se retrase 3 días la decisión.;selection_evaluation 0;Pido referencias adicionales al headhunter para ganar algo de tiempo.;selection_evaluation 0;Añado un último paso rápido: un café informal con el equipo para asegurar el 'culture add'.;selection_evaluation 1;Le paso oferta inmediatamente. El encaje cultural ya se hará durante el onboarding.;selection_evaluation -1
Psicología organizacional;Competencias profesionales;46;Assessment Center;Tienes que evaluar a 10 internos para una posición directiva. Diseñas un Assessment Center, pero los managers creen que es una pérdida de tiempo.;Cancelo el Assessment Center y dejo que los promocionen a dedo para no causar roces.;selection_evaluation -1;Obligo por mandato de RRHH a que todos pasen por el proceso completo.;selection_evaluation 0;Reduzco el Assessment de 8 horas a 1 hora para que los managers no se quejen.;selection_evaluation 0;Les muestro datos de cómo la evaluación situacional predice el desempeño directivo mucho mejor que la entrevista libre.;selection_evaluation 1
Psicología organizacional;Competencias profesionales;47;Referencias Inesperadas;Pides referencias de una candidata brillante y su ex-jefe (un contacto tuyo) te dice, extraoficialmente, que es muy conflictiva.;Le digo a la candidata lo que me ha contado su jefe para ver cómo reacciona.;selection_evaluation 0;Uso esa información para hacer preguntas conductuales más profundas sobre gestión de conflictos en la entrevista final.;selection_evaluation 1;La descarto automáticamente para evitar problemas en el equipo.;selection_evaluation -1;La contrato, asumiendo que el ex-jefe igual tenía manía personal a la candidata.;selection_evaluation 0
Psicología organizacional;Competencias profesionales;48;Sobre-Cualificación;Se presenta un directivo con 20 años de experiencia para un puesto junior. Dice que 'solo quiere trabajar tranquilo'.;Evalúo su motivación real (anclaje de carrera) antes de descartarlo, podría ser un excelente mentor.;selection_evaluation 1;Intento inventar un puesto intermedio para aprovechar su talento.;selection_evaluation 0;Le descarto por sistema: se aburrirá y se irá en cuanto encuentre algo de lo suyo.;selection_evaluation -1;Le ofrezco el puesto pero con un sueldo por debajo del mercado para protegernos.;selection_evaluation 0
Psicología organizacional;Competencias profesionales;49;Rechazos de Oferta;Los últimos 3 candidatos seleccionados han rechazado la oferta en el último momento. El equipo de reclutamiento está desmotivado.;Cambio a la agencia de selección porque nos están trayendo perfiles mercenarios.;selection_evaluation 0;Reviso el funnel de selección para identificar en qué fase estamos generando falsas expectativas sobre el puesto o el salario.;selection_evaluation 1;Acorto los procesos de 4 a 2 entrevistas para no cansar a los candidatos.;selection_evaluation 0;Aumento el salario de entrada en las ofertas para que la gente no se caiga al final.;selection_evaluation -1
Psicología organizacional;Competencias profesionales;50;Validez Predictiva;Se usan tests de inteligencia lógicos para contratar perfiles creativos (diseñadores). La rotación es alta.;Paso tests de personalidad en lugar de tests de inteligencia lógica.;selection_evaluation 0;Cambio la batería de pruebas por un portafolio de trabajo y pruebas de pensamiento divergente (alineamiento al puesto).;selection_evaluation 1;Mantengo el test lógico, al final una persona inteligente sirve para cualquier puesto.;selection_evaluation -1;Dejo de pasar tests y confío únicamente en la entrevista no estructurada.;selection_evaluation 0
Psicología organizacional;Competencias profesionales;51;Encuesta de Clima;La participación en la encuesta de clima ha caído al 30%. La gente dice que 'nunca cambia nada' con los resultados.;Digo que el 30% es estadísticamente válido y tomo decisiones desde RRHH sin preguntar.;organizational_development -1;Comparto los resultados abiertamente y creo grupos de trabajo (task forces) empleados-directivos para ejecutar 2 acciones visibles rápidas.;organizational_development 1;Añado un sorteo de un iPad para incentivar a que la gente rellene la próxima encuesta.;organizational_development 0;Hago la encuesta obligatoria bajo control de cumplimiento corporativo.;organizational_development 0
Psicología organizacional;Competencias profesionales;52;El Curso de Moda;El CEO acaba de leer un libro sobre 'Design Thinking' y quiere dar formación a los 500 empleados la semana que viene.;Compro un curso enlatado barato de internet y lo cuelgo en la intranet.;organizational_development 0;Hago un análisis de necesidades (DNC) rápido y le propongo pilotarlo solo en los equipos de innovación donde hay un problema real de negocio.;organizational_development 1;Organizo un webinar masivo para toda la empresa y tacho la orden del CEO de mi lista.;organizational_development -1;Le doy largas hasta que el CEO se olvide y pase de moda.;organizational_development 0
Psicología organizacional;Competencias profesionales;53;Fusión Cultural;Dos departamentos (Comercial y Operaciones) se han fusionado. La cultura de ambos choca violentamente (agresividad vs procesos).;Organizo una actividad de teambuilding de escape room para que se hagan amigos.;organizational_development 0;Facilito sesiones de diagnóstico cultural para definir unos valores comunes y nuevas formas de trabajar conjuntas.;organizational_development 1;Impongo la cultura de Comercial, que son los que traen el dinero, para que Operaciones espabile.;organizational_development -1;Despido a los principales agitadores de ambos bandos para mandar un mensaje.;organizational_development 0
Psicología organizacional;Competencias profesionales;54;Liderazgo en Silos;Los departamentos no colaboran. Cada director protege su presupuesto y su talento, creando 'reinos de taifas'.;Pido al CEO que sea él quien distribuya los recursos directamente.;organizational_development 0;Rediseño la estructura de objetivos, vinculando parte del bonus directivo a proyectos transversales compartidos.;organizational_development 1;Creo una figura de 'Project Manager' para obligar a que se hablen.;organizational_development 0;Organizo reuniones semanales de alineamiento donde todos puedan quejarse juntos.;organizational_development -1
Psicología organizacional;Competencias profesionales;55;Mapas de Talento;Los managers promueven a los que 'caen bien' en lugar de usar criterios de potencial y desempeño real.;Las promociones se decidirán únicamente por el resultado del test de personalidad.;organizational_development 0;Implanto una matriz 9-Box con reuniones de calibración conjuntas para democratizar la evaluación del talento.;organizational_development 1;Dejo que decidan. Un manager sabe quién es bueno en su equipo mejor que una matriz teórica.;organizational_development -1;Exijo que todas las promociones tengan el visto bueno del departamento de formación.;organizational_development 0
Psicología organizacional;Competencias profesionales;56;Tokenismo (Diversidad);La empresa quiere nombrar a una mujer directiva solo para cumplir la cuota del informe de sostenibilidad y la foto corporativa.;Me limito a asegurar que legalmente no hay discriminación.;organizational_development 0;Reenfoco la iniciativa: diseñamos un plan de desarrollo real para mujeres alto potencial que cambie el pipeline a futuro.;organizational_development 1;Digo que RRHH no se mete en nombramientos directivos.;organizational_development 0;Aplaudo la decisión táctica, la foto ayudará a mejorar nuestra marca empleadora rápidamente.;organizational_development -1
Psicología organizacional;Competencias profesionales;57;Transferencia al Puesto;Se gastan 100k en formación técnica, pero al medir a los 3 meses, nadie aplica lo aprendido en su puesto de trabajo.;Cambio el modelo: implanto seguimiento con managers y proyectos prácticos de transferencia vinculados al curso.;organizational_development 1;Asumo que es normal, la formación es más un beneficio para el empleado que una herramienta de mejora productiva.;organizational_development -1;Añado un examen tipo test al final de los cursos para obligarles a atender.;organizational_development 0;Cambio de proveedor de formación el año que viene.;organizational_development 0
Psicología organizacional;Competencias profesionales;58;Planes de Sucesión Vacíos;El plan de sucesión está lleno de nombres, pero cuando un líder se va, nunca nombran al sucesor oficial. Fichan a alguien externo.;Pongo por política que sea obligatorio promocionar al interno si está en la lista.;organizational_development 0;Hago que el CEO firme la lista anualmente para comprometerle psicológicamente.;organizational_development 0;Conecto el plan de sucesión con planes de desarrollo individual (PDI) reales para reducir el riesgo (gap) de preparación.;organizational_development 1;Dejo de hacer el plan de sucesión, es burocracia inútil si la dirección prefiere fichar de fuera.;organizational_development -1
Psicología organizacional;Competencias profesionales;59;Onboarding Fallido;El 20% de las nuevas contrataciones se marcha antes de los 6 meses quejándose de la falta de claridad en su rol.;Les doy un manual de bienvenida más extenso en PDF el primer día.;organizational_development 0;Rediseño el Onboarding: paso de 'una semana de presentaciones' a un plan de integración y acompañamiento de 90 días.;organizational_development 1;Hago que su primer día sea una comida divertida con el equipo para crear enganche.;organizational_development 0;Atribuyo el problema a la 'Generación Z', que no tiene compromiso, y sigo buscando candidatos más leales.;organizational_development -1
Psicología organizacional;Competencias profesionales;60;Cultura Oculta;La organización tiene valores oficiales ('Innovación', 'Transparencia') pegados en la pared, pero la gente actúa por miedo al fracaso.;Hago que los líderes manden un vídeo mensual hablando de transparencia.;organizational_development 0;Hago una nueva campaña de marketing interno rediseñando los carteles de los valores para hacerlos más modernos.;organizational_development -1;Doy charlas de motivación sobre la importancia de equivocarse.;organizational_development 0;Audito los procesos de recompensa (quién es ascendido realmente) para alinear lo que premiamos con los valores oficiales.;organizational_development 1
